tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
House with pool and terrace,Fresnes-sur-Marne (77),1053300,240,4,coerce,By Montaigne Estate
House with terrace,Séné (56),861900,110,3,1,By Demeures Marines
House,Cely en biere (77),1004300,400,5,coerce,By Reseau Immo-diffusion
House with garden and terrace,Comines (59),691200,280,6,coerce,By Le Bel Immo
House with pool and terrace,Uzès (30),594000,145,4,coerce,By Botella - L&#39;immobilier Depuis 1989
House with pool and garden,Meschers-sur-Gironde (17),360700,86,2,coerce,By Lloyd &amp; Davis
House with garden,Assé-le-Boisne (72),301300,275,4,1,By Bonne Etoile
House with terrace,Saint-Jean-de-la-Ruelle (45),350900,130,4,coerce,By One Shot Immobilier
Villa with pool and garden,Serignan (34),599400,150,4,coerce,By Paul Caumette Immobilier
House with pool,Montpellier (34),729000,160,4,1,By Agence Galerie Casanova
House with pool,Jacou (34),729000,160,4,1,By Agence Galerie Casanova
House with pool and terrace,Clermont-l'herault (34),538900,250,7,coerce,By Agence Galerie Casanova
House,Montluçon (03),680400,320,7,coerce,By Kretz &amp; Partners
House with pool,Toulon (83),1079000,190,4,coerce,By Patrice Besse
Farmhouse,Fontainebleau (77),430900,348,2,coerce,By Patrice Besse
House,Lancieux (22),1020600,230,5,coerce,By Pierres Et Mer
House,Ploermel (56),605900,280,7,coerce,By Pierres Et Mer
House,La Seyne-sur-Mer (83),623700,144,3,1,By Immo Euthenia Sud
House with terrace,Libourne (33),825100,244,5,coerce,By 3g Immo Prestige
House,Agde (34),1009800,206,3,coerce,By Kretz &amp; Partners
House,Uzès (30),827300,148,4,coerce,By Styles
House,Le petit-bornand-les-glieres (74),645900,320,4,coerce,By 3g Immo Prestige
House,Saint-Martin-de-Hinx (40),680400,150,4,1,By Equinoxes Immobilier
House with terrace,Cappelle-en-Pévèle (59),304600,121,4,1,By Laforêt Mérignies
House with pool and terrace,Izeaux (38),598300,152,4,coerce,By Efficity
House,Chauray (79),723600,240,5,1,By Efficity
House with pool,La Ciotat (13),669600,100,3,coerce,By Mon Office Immobilier
House with pool,Allauch (13),765700,155,5,1,By Mon Office Immobilier
House,Saint-Romain-de-Colbosc (76),582100,363,5,coerce,By Propriétés Privées
House with pool,Nantheuil (24),567000,225,6,1,By Propriétés Privées
House,Orvault (44),767400,230,4,coerce,By Paul Parker Properties
House,Orvault (44),470400,230,4,coerce,By Paul Parker Properties
House with pool,Les issambres (83),1036800,120,3,1,By Capifrance - Martine Lapierre
House with terrace,Le Guerno (56),396200,117,4,1,By Agence Immobiliere Saloux
House,Nemours (77),313200,96,2,1,By Espaces Atypiques Seine Et Marne
House with terrace,Lamazière-Basse (19),1067100,158,3,1,By Capifrance - Fabrice Bruyeres
House with terrace,Quiberon (56),1009000,158,5,coerce,By Nestenn Quiberon
House with terrace,Lesneven (29),640500,246,7,1,By Villadici
House,Saint-Paul-Trois-Châteaux (26),399600,79,2,coerce,By Christine Miranda Immobilier
House,Pacy-sur-Eure (27),642600,164,7,1,By Orpi - Select&#39;immo
House,Narbonne (11),631800,194,3,coerce,By Nestenn Carcassonne - Chayla Immobilier
Bastide,Le Breuil-en-Auge (14),642600,142,4,1,By Engel &amp; Völkers Paris
Bastide,Honfleur (14),340200,120,3,coerce,By Engel &amp; Völkers Paris
House,Prayssac (46),216000,80,2,coerce,By L&#39;adresse Prayssac Immobilier - Agence Favory
House,Montagrier (24),318600,226,4,coerce,By Espaces Atypiques Dordogne
House with pool and terrace,Tocane-Saint-Apre (24),567000,270,5,1,By Espaces Atypiques Dordogne
House with terrace,Besançon (25),486000,155,5,1,By Office Immobilier
House with terrace,Les Lèches (24),424500,160,3,coerce,By Espaces Atypiques Dordogne
House with terrace,Etel (56),544300,137,4,1,By Stéphane Plaza Immobilier Belz
House,Baume-les-Dames (25),430900,165,4,coerce,By Bersot Immobilier
House with terrace,Maxilly-sur-Léman (74),722500,126,4,1,By Imogroup Evian
House,Aix-en-Provence (13),783000,155,3,coerce,By Espaces Atypiques Marseille Immobilier Contemporain
House with terrace,Crozon (29),430900,75,2,1,By Barraine Immo Crozon
House with pool,Saint-Mamert-du-Gard (30),580000,207,3,1,By Espaces Atypiques Nimes
House with pool and terrace,Nimes (30),1074600,335,6,coerce,By Espaces Atypiques Nimes
House with pool,Saint-Maximin-la-Sainte-Baume (83),1026000,341,10,coerce,By Fip Fabre Immobilier Prestige
House,Saint-Malo (35),747400,132,4,coerce,By Bizeul Immobilier
House,Chaumes-en-Brie (77),434200,222,5,coerce,By Les Demeures De Fontainebleau
House,Barbizon (77),971000,221,4,coerce,By Les Demeures De Fontainebleau
House with terrace,Cognac (16),430900,239,4,1,By Walter &amp; De Maison
House with terrace,Saint-Médard-en-Jalles (33),474100,124,3,coerce,By Walter &amp; De Maison
House with terrace,Gensac-la-Pallue (16),493300,215,6,coerce,By Walter &amp; De Maison
House with pool and terrace,Merignac (16),506500,351,3,coerce,By Walter &amp; De Maison
House with terrace,Chaniers (17),376900,251,4,1,By Walter &amp; De Maison
